iso_code,year,death_rate
ARM,2006,141.45
ARM,2007,137.23
ARM,2008,137.52
ARM,2009,136.05
ARM,2010,133.29
ARM,2011,130.85
ARM,2012,126.24
ARM,2013,121.38
ARM,2014,121.45
ARM,2015,122.13
ARM,2016,119.77
ARM,2017,119.02
ARM,2018,118.4
ARM,2019,117.69
AUS,1990,125.5
AUS,1991,119.45
AUS,1992,115.98
AUS,1993,111.02
AUS,1994,108.15
AUS,1995,103.29
AUS,1996,99.65
AUS,1997,94.74
AUS,1998,89.67
AUS,1999,84.67
AUS,2000,80.42
AUS,2001,76.55
AUS,2002,73.4
AUS,2003,69.39
AUS,2004,66.33
AUS,2005,63.17
AUS,2006,60.66
AUS,2007,59.47
AUS,2008,57.94
AUS,2009,55.63
AUS,2010,53.61
AUS,2011,52.23
AUS,2012,50.33
AUS,2013,49.1
AUS,2014,48.57
AUS,2015,47.66
AUS,2016,45.96
AUS,2017,45.2
AUS,2018,45.21
AUS,2019,44.66
AUT,1990,106.68
AUT,1991,105.89
AUT,1992,104.44
AUT,1993,103.05
AUT,1994,100.58
AUT,1995,99.49
AUT,1996,98.49
AUT,1997,96.35
AUT,1998,94.71
AUT,1999,92.37
AUT,2000,89.47
AUT,2001,86.56
AUT,2002,85.8
AUT,2003,84.85
AUT,2004,82.58
AUT,2005,80.88
AUT,2006,78.85
AUT,2007,78.24
AUT,2008,77.17
AUT,2009,77.75
AUT,2010,76.64
AUT,2011,75.64
AUT,2012,74.96
AUT,2013,74.1
AUT,2014,72.9
AUT,2015,72.7
AUT,2016,71.2
AUT,2017,69.68
AUT,2018,68.36
AUT,2019,67.9
AZE,1990,136.27
AZE,1991,140.37
AZE,1992,147.39
AZE,1993,152.39
AZE,1994,156.94
AZE,1995,158.81
AZE,1996,157.04
AZE,1997,152.11
AZE,1998,147.99
AZE,1999,144.92
AZE,2000,142.94
AZE,2001,139.75
AZE,2002,140.81
AZE,2003,142.81
AZE,2004,142.74
AZE,2005,146.33
AZE,2006,147.2
AZE,2007,145.71
AZE,2008,148
AZE,2009,148.18
AZE,2010,148.87
AZE,2011,150.77
AZE,2012,153.02
AZE,2013,152.38
AZE,2014,152.92
AZE,2015,152.92
AZE,2016,154.06
AZE,2017,155.34
AZE,2018,148.16
AZE,2019,145.32
BHS,1990,61.15
BHS,1991,58.94
BHS,1992,57.04
BHS,1993,55.94
BHS,1994,55.1
BHS,1995,53.99
BHS,1996,53.92
BHS,1997,51.18
BHS,1998,50.34
BHS,1999,50.99
BHS,2000,48.03
BHS,2001,48.25
BHS,2002,46.03
BHS,2003,44.71
BHS,2004,44.51
BHS,2005,42.42
BHS,2006,42.81
BHS,2007,41.1
BHS,2008,41.44
BHS,2009,41.95
BHS,2010,41.78
BHS,2011,41.39
BHS,2012,40.95
BHS,2013,39.76
BHS,2014,39.85
BHS,2015,40.41
BHS,2016,40.36
BHS,2017,40.19
BHS,2018,40.38
BHS,2019,40.43
BHR,1990,212.41
BHR,1991,212.95
BHR,1992,207.2
BHR,1993,197
BHR,1994,193.17
BHR,1995,193.64
BHR,1996,192.69
BHR,1997,189.96
BHR,1998,187.11
BHR,1999,177.8
BHR,2000,151.85
BHR,2001,129.52
BHR,2002,146.73
BHR,2003,160.62
BHR,2004,155.8
BHR,2005,148.72
BHR,2006,140.17
BHR,2007,131.85
BHR,2008,124.36
BHR,2009,116.73
BHR,2010,110.43
BHR,2011,104.8
BHR,2012,100.05
BHR,2013,90.95
BHR,2014,83.73
BHR,2015,81.75
BHR,2016,81.65
BHR,2017,82.45
BHR,2018,82.21
BHR,2019,82.73
BGD,1990,200.78
BGD,1991,182.07
BGD,1992,177.89
BGD,1993,173.01
BGD,1994,167.79
BGD,1995,166.5
BGD,1996,160.93
BGD,1997,154.85
BGD,1998,149.94
BGD,1999,145.4
BGD,2000,145.52
BGD,2001,141.99
BGD,2002,141.92
BGD,2003,142.51
BGD,2004,139.48
BGD,2005,138.15
BGD,2006,138.31
BGD,2007,134.49
BGD,2008,126.9
BGD,2009,120.35
BGD,2010,115.87
BGD,2011,102.19
BGD,2012,91.16
BGD,2013,88.17
BGD,2014,89.05
BGD,2015,85.45
BGD,2016,84.57
BGD,2017,87.87
BGD,2018,87.13
BGD,2019,86.37
BRB,1990,46.25
BRB,1991,45.08
BRB,1992,45.47
BRB,1993,45.25
BRB,1994,45.63
BRB,1995,44.86
BRB,1996,44.2
BRB,1997,43.76
BRB,1998,41.73
BRB,1999,38.64
BRB,2000,37.91
BRB,2001,36.32
BRB,2002,37.56
BRB,2003,38.83
BRB,2004,38.93
BRB,2005,37.39
BRB,2006,37.1
BRB,2007,36.35
BRB,2008,35.19
BRB,2009,32.93
BRB,2010,32.38
BRB,2011,31.87
BRB,2012,31.37
BRB,2013,31.21
BRB,2014,31.16
BRB,2015,30.94
BRB,2016,30.67
BRB,2017,30.48
BRB,2018,30.78
BRB,2019,31.98
BLR,1990,158.97
BLR,1991,164.36
BLR,1992,169.86
BLR,1993,186.47
BLR,1994,187.35
BLR,1995,193.81
BLR,1996,191.2
BLR,1997,192.13
BLR,1998,194.41
BLR,1999,196.99
BLR,2000,184.18
BLR,2001,192.3
BLR,2002,199.66
BLR,2003,192.1
BLR,2004,186.33
BLR,2005,189.26
BLR,2006,179.81
BLR,2007,166.87
BLR,2008,165.76
BLR,2009,163.96
BLR,2010,165.54
BLR,2011,166.01
BLR,2012,144.56
BLR,2013,139.62
BLR,2014,136.6
BLR,2015,132.44
BLR,2016,130.84
